Make/Model,MPG_City,MPG_Hwy,Weight(lb),Seating,Horsepower,HP/Pound,Displacement,Cylinders,Origin,Transmission,EPA_Class,Length,Fuel,HEV,Turbocharger,Make,Model,GP1000M_City,GP1000M_Hwy
Lexus_GS450h,22,25,4134,5,340,0.0822448,3.5,6,3,AS,compact,190,gas,yes,no,Lexus,GS450h,45.4545455,40
Lexus_ES350,19,27,3580,5,272,0.07597765,3.5,6,3,AS,midsize,191.1,gas,no,no,Lexus,ES350,52.6315789,37.037037
Lexus_GS460,17,24,3945,5,342,0.08669202,4.6,8,3,AS,midsize,190,gas,no,no,Lexus,GS460,58.8235294,41.6666667
Lexus_LS600h,20,22,5049,5,438,0.08674985,5,8,3,AS,midsize,202.8,gas,yes,no,Lexus,LS600h,50,45.4545455
Lexus_RX350,18,23,3870,5,270,0.06976744,3.5,6,3,AS,suv2,186.2,gas,no,no,Lexus,RX350,55.5555556,43.4782609
Lexus_RX400h,27,24,4190,5,268,0.06396181,3.3,6,3,AV,suv2,187.2,gas,yes,no,Lexus,RX400h,37.037037,41.6666667
Lexus_GX470,14,18,4959,8,263,0.05303489,4.7,8,3,A,suv4,188.2,gas,no,no,Lexus,GX470,71.4285714,55.5555556
Lexus_LX570,12,18,5995,8,383,0.06388657,5.7,8,3,AS,suv4,196.5,gas,no,no,Lexus,LX570,83.3333333,55.5555556
Lexus_RX350,17,22,4090,5,270,0.06601467,3.5,6,3,AS,suv4,186.2,gas,no,no,Lexus,RX350,58.8235294,45.4545455
Lexus_RX400h,26,24,4365,5,268,0.06139748,3.3,6,3,AV,suv4,187.2,gas,yes,no,Lexus,RX400h,38.4615385,41.6666667
Lincoln_MKZ,18,28,3469,5,263,0.07581436,3.5,6,1,A,midsize,190.5,gas,no,no,Lincoln,MKZ,55.5555556,35.7142857
Lincoln_Town_Car_FFV,15,23,4413,6,239,0.05415817,4.6,8,1,A,large,215.4,gas,no,no,Lincoln,Town_Car_FFV,66.6666667,43.4782609
Lincoln_MKX,16,24,4210,5,265,0.06294537,3.5,6,1,A,suv2,186.5,gas,no,no,Lincoln,MKX,62.5,41.6666667
Lincoln_Navigator,12,18,5777,7,300,0.05193007,5.4,8,1,A,suv2,208.4,gas,no,no,Lincoln,Navigator,83.3333333,55.5555556
Lincoln_MKX,15,22,4400,5,265,0.06022727,3.5,6,1,A,suv4,186.5,gas,no,no,Lincoln,MKX,66.6666667,45.4545455
Maserati_Gran_Turismo,13,19,4145,4,405,0.09770808,4.2,8,2,A,subcompact,197.7,gas,no,no,Maserati,Gran_Turismo,76.9230769,52.6315789
Maserati_Quattroporte,12,18,4387,5,400,0.09117848,4.2,8,2,A,large,198.9,gas,no,no,Maserati,Quattroporte,83.3333333,55.5555556
Maybach_57,10,16,5864,4,550,0.09379263,5.5,12,2,A,large,225.3,gas,no,yes,Maybach,57,100,62.5
Maybach_57S,10,16,6017,4,612,0.10171182,6,12,2,A,large,225.5,gas,no,yes,Maybach,57S,100,62.5
Mazda_MX-5,22,27,2441,2,166,0.06800492,2,4,3,M,2-seater,157.3,gas,no,no,Mazda,MX-5,45.4545455,37.037037
Mazda_RX-8,16,23,3083,4,232,0.07525138,1.3,2,3,AS,subcompact,174.3,gas,no,no,Mazda,RX-8,62.5,43.4782609
Mazda_RX-8,16,22,3053,4,232,0.07599083,1.3,2,3,M,subcompact,174.3,gas,no,no,Mazda,RX-8,62.5,45.4545455
Mazda_3,23,31,2811,5,148,0.0526503,2,4,3,AS,compact,177.4,gas,no,no,Mazda,3,43.4782609,32.2580645
Mazda_3,24,32,2780,5,148,0.05323741,2,4,3,M,compact,177.4,gas,no,no,Mazda,3,41.6666667,31.25
Mazda_6,18,25,3422,5,212,0.06195207,3,6,3,AS,midsize,186.8,gas,no,no,Mazda,6,55.5555556,40
Mazda_6,17,25,3364,5,212,0.06302021,3,6,3,M,midsize,186.8,gas,no,no,Mazda,6,58.8235294,40
Mazda_5,21,27,3475,6,153,0.04402878,2.3,4,3,AS,minivan,181.5,gas,no,no,Mazda,5,47.6190476,37.037037
Mazda_5,22,28,3417,6,153,0.04477612,2.3,4,3,M,minivan,181.5,gas,no,no,Mazda,5,45.4545455,35.7142857
Mazda_CX-7,17,23,3710,5,244,0.06576819,2.3,4,3,AS,suv2,184,gas,no,yes,Mazda,CX-7,58.8235294,43.4782609
Mazda_CX-9,16,22,4312,7,270,0.06261596,3.7,6,3,AS,suv2,199.8,gas,no,no,Mazda,CX-9,62.5,45.4545455
Mazda_Tribute,20,26,3300,5,153,0.04636364,2.3,4,3,A,suv2,174.9,gas,no,no,Mazda,Tribute,50,38.4615385
Mazda_Tribute,22,28,3233,5,153,0.04732447,2.3,4,3,M,suv2,174.9,gas,no,no,Mazda,Tribute,45.4545455,35.7142857
Mazda_Tribute_Hybrid,34,30,3597,5,133,0.03697526,2.3,4,3,AV,suv2,174.9,gas,yes,no,Mazda,Tribute_Hybrid,29.4117647,33.3333333
Mazda_CX-7,16,22,3929,5,244,0.06210232,2.3,4,3,AS,suv4,184,gas,no,yes,Mazda,CX-7,62.5,45.4545455
Mazda_CX-9,15,21,4528,7,270,0.05962898,3.7,6,3,AS,suv4,199.8,gas,no,no,Mazda,CX-9,66.6666667,47.6190476
Mazda_Tribute_Hybrid,29,27,3764,5,133,0.03533475,2.3,4,3,AV,suv4,174.9,gas,yes,no,Mazda,Tribute_Hybrid,34.4827586,37.037037
Mercedes-Benz_SL550,14,21,4220,2,382,0.09052133,5.5,8,2,A,2-seater,178.5,gas,no,no,Mercedes-Benz,SL550,71.4285714,47.6190476
Mercedes-Benz_SL600,11,18,4455,2,510,0.11447811,5.5,12,2,A,2-seater,178.5,gas,no,yes,Mercedes-Benz,SL600,90.9090909,55.5555556
Mercedes-Benz_SLK280,18,24,3255,2,228,0.07004608,3,6,2,A,2-seater,160.7,gas,no,no,Mercedes-Benz,SLK280,55.5555556,41.6666667
Mercedes-Benz_SLK280,17,25,3215,2,228,0.07091757,3,6,2,M,2-seater,160.7,gas,no,no,Mercedes-Benz,SLK280,58.8235294,40
Mercedes-Benz_SLK350,17,23,3295,2,268,0.08133536,3.5,6,2,A,2-seater,160.7,gas,no,no,Mercedes-Benz,SLK350,58.8235294,43.4782609
Mercedes-Benz_CLK350,17,25,3585,4,268,0.07475593,3.5,6,2,A,subcompact,183.2,gas,no,no,Mercedes-Benz,CLK350,58.8235294,40
Mercedes-Benz_CLK550,15,22,3720,4,382,0.10268817,5.5,8,2,A,subcompact,183.2,gas,no,no,Mercedes-Benz,CLK550,66.6666667,45.4545455
Mercedes-Benz_CLK63_AMG,12,19,3948,4,500,0.1266464,6.2,8,2,AS,subcompact,183.2,gas,no,no,Mercedes-Benz,CLK63_AMG,83.3333333,52.6315789
