Day,Month,Year,Price,RelChange,Time,RiskFree
30.0,12.0,1987.0,61.5,-0.00404858,87.9972,70.10602718086427
31.0,12.0,1987.0,61.375,-0.00203252,88.0,70.11920711397428
4.0,1.0,1988.0,63.25,0.0305499,88.0083,70.13238952491172
5.0,1.0,1988.0,63.75,0.00790514,88.0111,70.1455744141424
6.0,1.0,1988.0,64.25,0.00784314,88.0139,70.15876178213226
7.0,1.0,1988.0,66.25,0.0311284,88.0167,70.1719516293473
8.0,1.0,1988.0,62.0,-0.0641509,88.0194,70.18514395625363
11.0,1.0,1988.0,62.75,0.0120968,88.0278,70.19833876331741
12.0,1.0,1988.0,62.5,-0.00398406,88.0306,70.21153605100491
13.0,1.0,1988.0,63.375,0.014,88.0333,70.22473581978251
14.0,1.0,1988.0,62.375,-0.0157791,88.0361,70.23793807011663
15.0,1.0,1988.0,63.375,0.0160321,88.0389,70.25114280247381
18.0,1.0,1988.0,64.375,0.0157791,88.0472,70.26435001732068
19.0,1.0,1988.0,63.0,-0.0213592,88.05,70.27755971512394
20.0,1.0,1988.0,61.375,-0.0257937,88.0528,70.29077189635039
21.0,1.0,1988.0,60.5,-0.0142566,88.0556,70.30398656146691
22.0,1.0,1988.0,61.5,0.0165289,88.0583,70.31720371094048
25.0,1.0,1988.0,63.5,0.0325203,88.0667,70.33042334523813
26.0,1.0,1988.0,64.875,0.0216535,88.0694,70.34364546482705
27.0,1.0,1988.0,64.125,-0.0115607,88.0722,70.35687007017444
28.0,1.0,1988.0,65.5,0.0214425,88.075,70.37009716174764
29.0,1.0,1988.0,65.75,0.00381679,88.0778,70.38332674001406
1.0,2.0,1988.0,64.875,-0.013308,88.0833,70.39655880544119
2.0,2.0,1988.0,64.375,-0.00770713,88.0861,70.40979335849661
3.0,2.0,1988.0,65.375,0.015534,88.0889,70.42303039964801
4.0,2.0,1988.0,65.5,0.00191205,88.0917,70.43626992936315
5.0,2.0,1988.0,63.125,-0.0171756,88.0944,70.44951194810987
8.0,2.0,1988.0,61.25,-0.029703,88.1028,70.46275645635612
9.0,2.0,1988.0,62.875,0.0265306,88.1056,70.47600345456992
10.0,2.0,1988.0,66.125,0.0516899,88.1083,70.48925294321938
11.0,2.0,1988.0,65.625,-0.00756144,88.1111,70.50250492277272
12.0,2.0,1988.0,67.125,0.0228571,88.1139,70.5157593936982
16.0,2.0,1988.0,69.25,0.0316574,88.125,70.52901635646423
17.0,2.0,1988.0,69.0,-0.00361011,88.1278,70.54227581153924
18.0,2.0,1988.0,67.5,-0.0217391,88.1306,70.55553775939181
19.0,2.0,1988.0,69.125,0.0240741,88.1333,70.56880220049058
22.0,2.0,1988.0,70.625,0.0216998,88.1417,70.58206913530428
23.0,2.0,1988.0,70.125,-0.00707965,88.1444,70.59533856430173
24.0,2.0,1988.0,70.0,-0.00178253,88.1472,70.60861048795182
